SMILES,InChIKey,AromaticRingCount,HBondDonorCount,HBondAcceptorCount,FractionCarbonSP3,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,HeteroatomCount,HeterocycleCount,RotatableBondCount,MolecularMass,DegreeOfUnsaturation,MinEllipsoidLength,MaxDistance,LongestPiChain,LinkerLength,MaxAbsorbanceWavelength
CCN1C(=Cc2cc(C)nc(-c3ccccc3)[n+]2C)C=Cc2ccccc21,UBRISJAVIYTNDW-UHFFFAOYSA-N,3,0,2,0.166666667,16.05430107,9.365606942,6.776648209,4.960886501,3.600318221,3,2,3,354.477,14,232.7860488,13.63071411,13,2,593
CC1=C/C(=C(/c2cc(C)c([O-])c(C(=O)[O-])c2)c2ccccc2S(=O)(=O)O)C=C(C(=O)[O-])C1=O,KXOWVZNVTQLQPD-XMHGGMMESA-K,2,1,8,0.086956522,17.24025036,9.331527882,7.26079855,5.000742013,3.515580678,10,0,5,467.431,18,97.29578328,11.35793677,10,2,454
CC1=CC(=C(c2cc(C)c([O-])c(C(=O)[O-])c2)c2ccccc2S(=O)(=O)O)C=C(C(=O)[O-])C1=O,KXOWVZNVTQLQPD-UHFFFAOYSA-K,2,1,8,0.086956522,17.24025036,9.331527882,7.26079855,5.000742013,3.515580678,10,0,5,467.431,18,82.63668106,11.27121876,10,2,419
CCN1C(=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21,AGJZCWVTGOVGBS-UHFFFAOYSA-N,3,0,1,0.173913043,14.81419425,8.994514298,6.266884659,4.873973775,3.66639915,2,2,3,327.451,13,152.9461051,12.88113187,12,2,542
CC1(C)C(=CC=CC=CC2=[N+](CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)N(CCCCCC(=O)ON2C(=O)CCC2=O)c2ccc(S(=O)(=O)[O-])cc21,MGIODCZGPVDROX-UHFFFAOYSA-M,2,0,15,0.444444444,36.57117493,21.33577143,17.21222019,11.95735853,8.502216532,20,4,19,936.051,23,1291.784707,25.02428821,16,6,574
C#CCN=C(O)CCCCCN1C(=CC=CC2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,ZAEMCWBMKGHPLO-UHFFFAOYSA-O,2,1,2,0.393939394,22.9596983,13.3158093,11.03845717,7.882943029,5.859816663,4,2,9,494.703,15,373.2533386,17.24209718,14,4,528
C[N+]1=C(C=CC=C2N(CCCCC(O)=NCCOCCOCCNCCO[C@H]3OC(CO)[C@@H](O)[C@H](O)C3O)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,SSFADTFCQMBTSO-IHRPVSEJSA-O,2,6,11,0.581395349,33.64069439,19.86357607,15.5890849,11.01461768,7.829062993,13,3,21,779.996,14,1600.506179,27.76655595,14,4,544
CC1(C)C(=CC=CC2=[N+](CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)N(CCCCCC(=O)ON2C(=O)CCC2=O)c2ccc(S(=O)(=O)[O-])cc21,OHOQEZWSNFNUSY-UHFFFAOYSA-M,2,0,15,0.465116279,35.41647439,20.66910476,16.82732002,11.73513631,8.375067913,20,4,18,910.013,22,400.3408426,20.16401853,14,4,432
CC1(C)C(=CC=CC=CC2=[N+](CCCS(=O)(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)N(CCCCCC([O-])=NCCCCCCN2C(=O)C=CC2=O)c2ccc(S(=O)(=O)[O-])cc21,ABCCZQUSYBNXBH-UHFFFAOYSA-K,2,0,14,0.454545455,35.81762718,20.79044285,16.77773405,11.56133198,8.251476838,19,3,22,926.125,22,1293.84016,26.26523601,16,6,558
CCN1C=CC(=Cc2cc[n+](CC)c3ccccc23)c2ccccc21,PBYSOAALDIVUSK-UHFFFAOYSA-N,3,0,1,0.173913043,14.81419425,8.986348213,6.292825576,4.909425894,3.587874798,2,2,3,327.451,13,233.6739985,13.75387538,10,2,641
CC(C)N1C=CC(=Cc2ccc3ccccc3[n+]2C(C)C)c2ccccc21,TYFOKKOWQOKKCH-UHFFFAOYSA-N,3,0,1,0.24,16.55468123,9.769561017,7.714349381,5.192159694,3.945438135,2,2,3,355.505,13,182.8707552,13.68971612,11,2,560
CC[n+]1c(CC2C=C(C)N=C(c3ccccc3)N2C)ccc2ccccc12,WNJQWMVHCPGIAR-UHFFFAOYSA-N,3,0,2,0.25,16.26140785,9.629308644,7.119606029,5.343417887,3.952621656,3,2,4,356.493,13,241.9193572,15.44763567,7,1,382
